Name,Genres,Type,Episodes,Aired,Members,Score
Time-Patrol Bon: Fujiko F. Fujio Anime Special - SF Adventure,"Action, Adventure",Special,1,"Oct 14, 1989",408,0.0
Sakamichi no Apollon,"Drama, Romance",TV,12,"Apr 13, 2012 to Jun 29, 2012",368881,8.31
"Dakara Boku wa, H ga Dekinai.","Comedy, Romance, Supernatural, Ecchi",TV,12,"Jul 6, 2012 to Sep 25, 2012",407205,6.55
Jisshuusei,Hentai,OVA,1,"Jun 25, 2002",797,4.84
Benkei tai Ushiwaka,"Action, Comedy",Movie,1,Jul 1939,1337,5.2
Punky Funky Baby,Hentai,OVA,1,"May 1, 1985",817,4.41
Fate/Prototype,"Action, Fantasy, Romance, Supernatural",OVA,1,"Dec 31, 2011",109384,6.64
Himitsu no Akko-chan (Movie),UNKNOWN,Movie,1,"Mar 13, 1989",822,5.97
Itsuka Tenma no Kuro Usagi Picture Drama,"Comedy, Romance, Supernatural, Ecchi",Special,6,"Sep 30, 2011 to Feb 24, 2012",6957,6.1
Asa made Jugyou Chu!,"Comedy, Romance, Ecchi",OVA,1,"Jun 23, 2012",54059,6.05
Inazuma Eleven Go Specials,Sports,Special,2,"Dec 8, 2011 to Dec 23, 2011",6449,6.73
3 Choume no Tama: Onegai! Momo-chan wo Sagashite!!,Adventure,Movie,1,"Aug 14, 1993",825,5.96
Ojamajo Doremi OVA,Comedy,OVA,3,2001 to 2002,2060,6.63
Ijime: Ikenie no Kyoushitsu,Drama,OVA,1,"Feb 3, 2012",1842,5.03
Tora-chan to Hanayome,Drama,Movie,1,Feb 1948,1283,5.52
Sengoku Collection,Fantasy,TV,26,"Apr 6, 2012 to Sep 28, 2012",24283,6.42
Morizo to Kikkoro,UNKNOWN,TV,52,"Apr 3, 2004 to Sep 24, 2004",268,0.0
Egomama,UNKNOWN,Music,1,"Dec 7, 2011",2695,6.92
"Mogyutto ""Love"" de Sekkinchuu!",UNKNOWN,Music,1,"Feb 15, 2012",13474,7.2
Happening Star ☆,"Comedy, Sci-Fi",OVA,1,"Jan 22, 2012",249,0.0
Danball Senki W,Action,TV,58,"Jan 18, 2012 to Mar 20, 2013",6212,7.02
Tongari Boushi no Memole: Marielle no Housekibako,Fantasy,OVA,1,"Mar 16, 1985",656,6.19
Nisoku Hokou,UNKNOWN,Music,1,"Apr 21, 2010",2072,6.51
Light Lag,UNKNOWN,Music,1,"Jul 27, 2011",1586,6.31
Patalliro! Stardust Keikaku,"Adventure, Boys Love, Comedy, Romance",Movie,1,"Jul 10, 1983",1671,6.47
"Yuru Yuri: Doushite, Tomaranai, Tokimeki, Dokidoki, Paradox, Eternal",Comedy,Special,1,"Nov 16, 2011",25163,6.38
Amagami SS+ Plus: Extra Episode+ Plus,Romance,Special,6,"Apr 4, 2012 to Sep 5, 2012",36090,7.2
Pokemon Movie 15: Kyurem vs. Seikenshi,"Action, Adventure, Comedy, Drama, Fantasy",Movie,1,"Jul 14, 2012",49850,6.45
Papa no Iukoto wo Kikinasai!: Pokkapoka,"Comedy, Romance",Special,1,"Jul 11, 2012",39672,7.17
Ozma,"Action, Adventure, Sci-Fi",TV,6,"Mar 17, 2012 to Apr 21, 2012",15059,6.09
Joshiraku,Comedy,TV,13,"Jul 6, 2012 to Sep 28, 2012",170886,7.45
Yumeyume,UNKNOWN,Music,1,"Jan 12, 2012",2131,6.15
Code Geass: Hangyaku no Lelouch - Nunnally in Wonderland,"Comedy, Fantasy",OVA,1,"Jul 27, 2012",70275,6.45
Kiss Dum R: Meguriahi,Sci-Fi,Special,1,"Oct 19, 2008",1301,6.06
Tight-rope,"Boys Love, Romance",OVA,2,"May 30, 2012 to Jun 27, 2012",48362,6.99
Tales of Gekijou,Comedy,Special,5,"Jan 1, 2012 to Feb 23, 2012",4556,6.5
Tales of Symphonia The Animation: Sekai Tougou-hen Specials,Comedy,Special,3,"Nov 23, 2011 to Oct 24, 2012",6310,7.01
Uta no☆Prince-sama♪ Maji Love 2000%,"Comedy, Romance",TV,13,"Apr 4, 2013 to Jun 27, 2013",110500,7.18
The Hakkenden: Shin Shou,"Action, Adventure",OVA,7,"Nov 25, 1993 to Mar 25, 1995",2746,6.37
Initial D: Project D to the Next Stage - Project D e Mukete,"Action, Drama",Special,1,"Mar 22, 2003",11103,7.55
Thermae Romae Specials,Comedy,Special,2,"Apr 20, 2012",3989,6.75
High School DxD OVA,"Comedy, Romance, Ecchi",OVA,2,"Sep 6, 2012 to May 31, 2013",275660,7.27
Bari Bari Densetsu (1987),"Action, Drama",Movie,1,"Aug 1, 1987",2471,6.56
Phi Brain: Kami no Puzzle - Orpheus Order-hen,"Action, Mystery",TV,25,"Apr 8, 2012 to Sep 23, 2012",47694,7.26
Mahoutsukai Jiji,Fantasy,ONA,1,"Dec 24, 2011",1769,5.93
Zokuzoku Mura no Obake-tachi,Fantasy,OVA,12,"Feb 21, 1996 to Apr 21, 1999",308,0.0
0-sen Hayato,UNKNOWN,TV,38,"Jan 21, 1964 to Oct 27, 1964",956,5.8
Yuuyake Banchou,Action,TV,26,"Sep 30, 1968 to Mar 29, 1969",566,0.0
Yuusei Kamen,Sci-Fi,TV,39,"Jun 3, 1966 to Feb 21, 1967",650,5.69
Yumemakura Baku Twilight Gekijou,Horror,OVA,4,"May 21, 1991 to Nov 21, 1991",1439,5.61
Youyou no Neko Tsumami,"Comedy, Slice of Life",TV,130,"Mar 30, 1992 to Sep 25, 1992",466,0.0
Yoshimoto Muchikko Monogatari,Comedy,TV,47,"Oct 26, 1998 to Nov 5, 1999",365,0.0
Sora no Otoshimono Final: Eternal My Master,"Comedy, Fantasy, Sci-Fi, Ecchi",Movie,1,"Apr 26, 2014",92089,6.73
Yasashii Lion,"Award Winning, Fantasy",Movie,1,"Mar 21, 1970",904,5.37
Yankee Reppuu-tai,"Adventure, Drama",OVA,6,"Mar 17, 1989 to Apr 21, 1996",670,0.0
Yanbou Ninbou Tonbou,Fantasy,TV,39,"Apr 5, 1995 to Jan 24, 1996",361,0.0
Yajikita Gakuen Douchuuki,Adventure,OVA,2,"Sep 15, 1989 to Jul 25, 1991",1420,5.51
Xevious,"Action, Adventure, Sci-Fi",Movie,1,"Aug 3, 2002",616,0.0
Chinkoroheibei Tamatebako,"Comedy, Fantasy",Movie,1,1936,898,5.08
Wonder-kun no Hatsu Yume Uchuu Ryokou,Adventure,Special,1,"Jan 2, 1969",441,5.42
Wonder Bebil-kun,"Comedy, Fantasy",TV,30,"Apr 11, 2003 to Feb 6, 2004",390,0.0
Shirokuma Cafe,"Comedy, Slice of Life",TV,50,"Apr 5, 2012 to Mar 28, 2013",91554,7.9
Shakugan no Shana-tan III (Final): Final Destruction,Comedy,Special,2,"Jan 27, 2012 to May 30, 2012",19406,7.01
Ushiro no Hyakutarou,"Horror, Supernatural",OVA,2,"Aug 21, 1991 to Oct 21, 1991",380,0.0
Umeboshi Denka,Comedy,TV,26,"Apr 1, 1969 to Sep 23, 1969",520,0.0
Ultraman USA,"Action, Adventure, Sci-Fi",Movie,1,"Apr 15, 1989",1454,5.46
Star Driver the Movie,"Action, Romance, Sci-Fi",Movie,1,"Feb 9, 2013",12630,6.62
One Piece Film: Z,"Action, Adventure, Fantasy",Movie,1,"Dec 15, 2012",264996,8.14
Umeboshi Denka: Uchuu no Hate kara Panparopan!,Comedy,Movie,1,"Mar 12, 1994",354,0.0
Pretty Rhythm: Dear My Future,Sports,TV,51,"Apr 7, 2012 to Mar 30, 2013",8926,6.67
Ai wa KAT-TUN,Comedy,ONA,5,"Jan 13, 2012",2519,5.09
Tsuki no Sango,Drama,Movie,1,"Dec 21, 2010",5618,6.15
Ginga e Kickoff!!,Sports,TV,39,"Mar 26, 2012 to Feb 26, 2013",26300,7.2
Bokura no: Tsuisou,"Drama, Sci-Fi",Special,1,"Jul 24, 2007",3373,6.04
Dantalian no Shoka: Ibarahime,"Action, Mystery",OVA,1,"Aug 9, 2012",21523,7.15
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary OVA,"Comedy, Drama, Romance, Sci-Fi",OVA,4,"Dec 12, 2004",1349,5.54
Tsuritama,"Comedy, Sci-Fi, Slice of Life",TV,12,"Apr 13, 2012 to Jun 29, 2012",165566,7.66
Dynamic Super Robots Soushingekki,"Action, Sci-Fi",Special,3,"Dec 21, 2000 to Jun 25, 2001",1343,6.43
Uchuu Shounen Soran,"Action, Adventure, Sci-Fi",TV,96,"May 4, 1965 to Mar 28, 1967",664,0.0
Danshi Koukousei no Nichijou Specials,Comedy,Special,6,"Apr 3, 2012 to Sep 4, 2012",132837,7.83
Uchuu Patrol Hopper,Sci-Fi,TV,44,"Feb 1, 1965 to Nov 29, 1965",681,0.0
Ucchare Goshogawara,Sports,OVA,1,"Oct 25, 1991",482,0.0
TWD Express Rolling Takeoff,"Adventure, Sci-Fi",Movie,1,"Jul 14, 1987",486,5.43
Tsushima Maru: Sayounara Okinawa,UNKNOWN,Movie,1,"Oct 24, 1982",487,0.0
Tsuki ga Noboru made ni,Drama,OVA,1,"Nov 8, 1991",1262,6.24
Sekiei Ayakashi Mangatan,"Fantasy, Supernatural",ONA,3,"Feb 2, 2012 to Mar 1, 2012",3718,5.69
Madang-eul Naon Amtalg,"Adventure, Drama, Fantasy",Movie,1,"Jul 28, 2011",4054,7.32
Yoru no Hi,Avant Garde,Movie,1,2005,1569,4.64
Morita-san wa Mukuchi. Specials,"Comedy, Slice of Life",Special,2,"Jan 27, 2012",4449,6.4
Saint Seiya Omega,"Action, Adventure, Fantasy, Sci-Fi",TV,97,"Apr 1, 2012 to Mar 30, 2014",47902,6.26
Utakata Hanabi,UNKNOWN,Music,1,"Aug 25, 2010",2435,6.41
AWOL,"Action, Sci-Fi",TV,12,"Jan 7, 1998 to Apr 1, 1998",1386,5.32
Cele Kano,Hentai,OVA,2,"Apr 20, 2012 to Jul 20, 2012",4792,6.31
First Love,Hentai,OVA,3,"Mar 16, 2012 to Oct 19, 2012",9084,6.77
Ojousama☆Yomeiri Kousou!,Hentai,OVA,2,"Oct 5, 2012 to Nov 30, 2012",11314,6.87
Kansen 5: The Daybreak,Hentai,OVA,3,"Oct 26, 2012 to Apr 13, 2018",7997,6.4
Jewelpet Kira☆Deco!,Fantasy,TV,52,"Apr 7, 2012 to Mar 30, 2013",4167,6.86
Jewelpet Movie: Sweets Dance Princess,Fantasy,Movie,1,"Aug 11, 2012",1568,6.06
Arcana Famiglia,"Action, Fantasy, Romance",TV,12,"Jul 1, 2012 to Sep 16, 2012",202135,6.26
Himitsu no Akko-chan: Umi da! Obake da!! Natsu Matsuri,UNKNOWN,Movie,1,"Jul 15, 1989",655,5.71
Naruto SD: Rock Lee no Seishun Full-Power Ninden,"Action, Comedy",TV,51,"Apr 3, 2012 to Mar 26, 2013",94050,7.16
Kono Shihai kara no Sotsugyou: Ozaki Yutaka,Slice of Life,OVA,1,"Apr 21, 2004",839,0.0
Katte ni Kaizou Specials,"Comedy, Sci-Fi",Special,3,"May 25, 2011 to Oct 26, 2011",2999,6.28
Sono Mukou no Mukougawa,UNKNOWN,Music,1,"Mar 19, 2005",533,5.46
Dark Blue,Hentai,OVA,2,"Apr 27, 2012 to Mar 29, 2013",8700,5.84
Please ♥♥♥♥ Me!,Hentai,OVA,2,"Apr 27, 2012 to Aug 31, 2012",17437,6.75
Aneki no Kounai Kaikinbi,Hentai,OVA,1,"Feb 17, 2012",8534,5.44
Arashi no Yoru ni: Himitsu no Tomodachi,"Adventure, Drama",TV,26,"Apr 4, 2012 to Sep 26, 2012",2639,6.59
Battle Break,Action,ONA,1,"Dec 17, 2011",477,5.31
Anime Koukyoushi: Jungle Taitei,Adventure,OVA,1,"Apr 1, 1991",1174,6.4
Bishoujo Animerama: Miyuki-chan SOS-H Shichauzo,Hentai,OVA,1,"Aug 24, 1989",866,4.4
Aimai Elegy,UNKNOWN,Music,1,"Dec 15, 2010",3128,6.51
Sankarea OVA,"Comedy, Horror, Romance, Supernatural, Ecchi",OVA,2,"Jun 8, 2012 to Nov 9, 2012",108075,7.2
Peace Hame!,Hentai,OVA,6,"Mar 16, 2012 to Apr 19, 2013",11352,7.06
Tennis no Ouji-sama: Another Story II - Ano Toki no Bokura Specials,Sports,Special,2,"Aug 26, 2011 to Oct 26, 2011",4785,7.1
Fushigi na Kusuri,"Award Winning, Comedy, Slice of Life",Movie,1,1965,637,5.31
Kitsutsuki Keikaku,"Comedy, Slice of Life",Movie,1,1966,533,4.98
Youkoso Uchuujin,Comedy,Movie,1,1966,520,5.23
Hana to Mogura,"Award Winning, Comedy",Movie,1,1970,590,5.46
Ojiichan ga Kaizoku Datta Koro,Comedy,Movie,1,1968,394,5.33
Nazo no Kanojo X: Nazo no Natsu Matsuri,"Mystery, Romance, Ecchi",OVA,1,"Aug 23, 2012",42604,7.28
Ponta to Ensoku,"Adventure, Drama",OVA,1,"May 25, 2012",427,0.0
Hakuouki: Reimeiroku,"Action, Drama, Supernatural",TV,12,"Jul 10, 2012 to Sep 25, 2012",56645,7.43
Hakuouki Movie 1: Kyoto Ranbu,"Action, Drama, Supernatural",Movie,1,"Aug 24, 2013",28354,7.6
Hakuouki Movie 2: Shikon Soukyuu,"Action, Drama, Supernatural",Movie,1,"Mar 8, 2014",21594,7.7
Shinsekai yori,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Suspense",TV,25,"Sep 29, 2012 to Mar 23, 2013",755992,8.28
Gakkatsu!,Comedy,TV,25,"Apr 3, 2012 to Sep 18, 2012",7250,6.43
Shiba Inuko-san,Comedy,TV,26,"Apr 1, 2012 to Sep 23, 2012",9596,5.69
Baku Tech! Bakugan,Action,TV,51,"Apr 7, 2012 to Mar 30, 2013",4349,5.87
Cardfight!! Vanguard: Asia Circuit-hen,Action,TV,39,"Apr 8, 2012 to Jan 2, 2013",24586,6.78
Renkyori Enai,UNKNOWN,Music,1,"Nov 10, 2011",1203,6.25
Kuromajo-san ga Tooru!!,"Comedy, Slice of Life",TV,60,"Apr 4, 2012 to Feb 19, 2014",9231,6.58
Hagure Yuusha no Aesthetica,"Action, Fantasy, Ecchi",TV,12,"Jul 6, 2012 to Sep 21, 2012",411139,6.74
Furusato Saisei: Nippon no Mukashibanashi,Supernatural,TV,258,"Apr 1, 2012 to Mar 26, 2017",10684,6.89
Paboo & Mojies,UNKNOWN,TV,52,"Apr 2, 2012 to Mar 2, 2013",331,0.0
Zoobles!,UNKNOWN,TV,26,"May 18, 2011 to Nov 16, 2011",393,0.0
Buta,"Adventure, Comedy, Fantasy",Special,1,"Mar 5, 2012",8705,6.41
Wasurenagumo,"Comedy, Supernatural",Special,1,"Mar 12, 2012",36863,7.04
Puka Puka Juju,"Fantasy, Slice of Life",Special,1,"Mar 19, 2012",5650,6.62
Shiranpuri (Movie),Drama,Special,1,"Mar 20, 2012",4751,6.25
Little Charo,Slice of Life,TV,50,"Apr 2, 2008 to Mar 25, 2009",655,6.15
Little Charo 2,Slice of Life,TV,50,"Mar 29, 2010 to Mar 21, 2011",458,0.0
Fate/Zero Remix,"Action, Fantasy, Supernatural",Special,2,"Mar 25, 2012 to Apr 1, 2012",24793,7.01
Juusen Battle Monsuno,"Action, Adventure",TV,52,"Oct 3, 2012 to Sep 25, 2013",8551,6.42
"Misenai Namida wa, Kitto Itsuka",Fantasy,Music,1,"Feb 29, 2012",572,6.02
Monster Farm: Legend e no Michi,"Action, Adventure, Comedy, Fantasy",TV,25,"Apr 1, 2000 to Sep 30, 2000",17075,6.73
Lupin the Third: Mine Fujiko to Iu Onna,"Action, Adventure, Award Winning, Comedy, Ecchi",TV,13,"Apr 5, 2012 to Jun 28, 2012",61144,7.77
Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,Comedy,TV,9,"Jan 22, 2012 to Mar 18, 2012",564,5.48
Guskou Budori no Denki (2012),"Award Winning, Drama, Fantasy, Slice of Life",Movie,1,"Jul 7, 2012",6230,6.24
Hishoka Drop The Animation,Hentai,OVA,1,"May 25, 2012",4966,6.25
Himesama Gentei!,Hentai,OVA,2,"May 25, 2012 to Oct 26, 2012",9221,6.78
Kyonyuu Fantasy,"Fantasy, Supernatural, Hentai",OVA,2,"May 25, 2012 to Jul 27, 2012",28043,7.34
Bible Black: New Testament Recap,Hentai,OVA,1,"Jun 25, 2008",6374,6.29
Metal Fight Beyblade Zero G,"Adventure, Sports",TV,38,"Apr 8, 2012 to Dec 23, 2012",14409,6.02
Mugen no Ryvius: Illusion,Comedy,ONA,6,1999 to 2000,1005,5.46
Mass Effect: Paragon Lost,"Action, Adventure, Sci-Fi",Movie,1,"Nov 29, 2012",8899,6.27
Shin Tennis no Ouji-sama Specials,"Comedy, Sports",Special,7,"Apr 20, 2012 to Apr 24, 2013",11879,7.49
Lupin III: Lupin Ikka Seizoroi,"Adventure, Comedy",Special,1,"Mar 28, 2012",3977,6.65
Lupin VIII,"Adventure, Comedy",Special,1,"Mar 28, 2012",3727,5.53
Shin Hikari Shinwa: Palutena no Kagami,"Adventure, Comedy, Fantasy",ONA,3,"Mar 13, 2012 to Mar 19, 2012",4310,6.33
Blossom,UNKNOWN,Music,1,"Mar 24, 2012",5045,6.5
Haru wa Kuru,Adventure,ONA,1,"Jan 27, 2012",967,5.71
Kyoto Animation: Ajisai-hen,UNKNOWN,Special,1,Jun 2011,5187,5.6
Inazuma Eleven Go: Chrono Stone,Sports,TV,51,"Apr 18, 2012 to May 1, 2013",56045,7.23
Fate/Zero: Onegai! Einzbern Soudanshitsu,Comedy,Special,6,"Mar 7, 2012 to Sep 19, 2012",37262,6.65
Shinryaku!! Ika Musume,"Comedy, Slice of Life",OVA,3,"Aug 8, 2012 to Sep 8, 2014",26857,7.47
Hunter x Hunter Movie 1: Phantom Rouge,"Action, Adventure, Fantasy",Movie,1,"Jan 12, 2013",190059,7.27
FlashBack,UNKNOWN,Music,1,"Feb 24, 2012",2525,6.61
One Off,Slice of Life,OVA,4,"Aug 5, 2012 to Oct 7, 2012",16307,6.4
Galaxy Angel Specials,"Comedy, Sci-Fi",Special,2,"Jan 25, 2002",2411,6.78
Houkago no Tinker Bell,"Comedy, Drama, Mystery, Romance, Slice of Life",OVA,1,"Jul 22, 1992",984,5.45
Usogui,UNKNOWN,OVA,1,"Oct 19, 2012",2162,4.9
Shounen Ninja Kaze no Fujimaru,"Action, Adventure",TV,65,"Jun 7, 1964 to Aug 31, 1965",1072,5.8
Kyoto Animation: Hoshi-hen,Fantasy,Special,1,"Aug 19, 2011",4553,5.78
Henshin Gattai! 5 tsu no Atsuki Tamashii,UNKNOWN,Music,1,"Jan 28, 2011",786,4.16
Crimson Girls: Chikan Shihai,Hentai,OVA,3,"May 25, 2012 to Sep 20, 2015",8717,6.35
Jormungand: Perfect Order,"Action, Adventure",TV,12,"Oct 10, 2012 to Dec 26, 2012",185208,7.9
Tari Tari,Slice of Life,TV,13,"Jul 1, 2012 to Sep 23, 2012",158315,7.29
Fuse: Teppou Musume no Torimonochou,"Action, Drama, Supernatural",Movie,1,"Oct 20, 2012",33097,7.31
Chouyaku Hyakuninisshu: Uta Koi.,"Comedy, Romance",TV,13,"Jul 3, 2012 to Sep 25, 2012",28696,7.44
High School DxD Specials,"Comedy, Romance, Ecchi",Special,6,"Mar 21, 2012 to Aug 29, 2012",202929,7.27
PistStar,UNKNOWN,ONA,1,"Mar 19, 2012",697,4.5
Samchongsa: Time Machine 001,"Adventure, Sci-Fi",Movie,1,"Jan 12, 1980",436,5.03
"Kono Naka ni Hitori, Imouto ga Iru!","Comedy, Mystery, Romance, Ecchi",TV,12,"Jul 6, 2012 to Sep 28, 2012",206559,6.51
Cornelis,Comedy,Movie,1,2008,487,5.18
Kyoto Animation: Hana-hen,Slice of Life,Special,1,Jun 2010,4784,5.73
Kyoto Animation: Sora-hen,Slice of Life,Special,1,Jul 2010,4418,5.57
Recorder to Randoseru Re♪,"Comedy, Slice of Life",TV,13,"Apr 4, 2012 to Jun 27, 2012",29484,6.82
Okusama wa Michael,Hentai,OVA,2,"Apr 20, 2012 to Jun 6, 2014",4361,6.12
Rakuen Tsuihou,"Action, Sci-Fi",Movie,1,"Nov 15, 2014",98376,7.3
Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,"Comedy, Supernatural",Special,1,"Sep 26, 2012",90046,7.54
Utsu Musume Sayuri,"Avant Garde, Comedy",OVA,1,2003,20789,1.98
Doudou,Fantasy,Movie,2,2002 to 2003,566,5.45
Moyashimon Returns,"Comedy, Gourmet, Supernatural",TV,11,"Jul 6, 2012 to Sep 14, 2012",24808,7.21
Guilty Crown: Lost Christmas - An Episode of Port Town,"Action, Drama, Sci-Fi",OVA,1,"Jul 26, 2012",96570,6.88
Wheels,Comedy,Special,1,2000,724,4.46
Fushigi Sekai Atagoul Monogatari,Adventure,Movie,1,Mar 2003,439,4.95
PES: Peace Eco Smile,Slice of Life,ONA,7,"May 25, 2012 to Aug 17, 2012",3677,5.53
Sakasama no Patema: Beginning of the Day,Sci-Fi,Special,4,"Feb 26, 2012 to Aug 25, 2012",28423,7.34
Himitsukessha Taka no Tsume NEO,Comedy,TV,38,"Apr 6, 2012 to Feb 15, 2013",602,5.82
himitsukesshatakanotsume.jp,Comedy,ONA,78,"Apr 6, 2012 to Apr 23, 2014",554,0.0
Taka no Tsume NEO Announcement Movie,Comedy,Special,1,"Mar 14, 2012",493,4.8
Shinpi no Hou,"Adventure, Supernatural",Movie,1,"Oct 6, 2012",1968,5.05
Shiawasette Naani,Fantasy,OVA,1,"Jul 9, 1991",1524,4.76
Shippuu! Iron Leaguer: Silver no Hata no Moto ni,Sports,OVA,5,"Nov 21, 1994 to Apr 25, 1995",517,6.31
Zumomo to Nupepe,Comedy,TV,32,"Apr 3, 2012 to Feb 26, 2013",427,0.0
Tomodachi 8-nin,Comedy,TV,398,"Mar 28, 2011 to Jan 5, 2019",383,0.0
Ribbon-chan,Comedy,TV,24,"Apr 4, 2012 to Mar 27, 2013",301,0.0
Panda no Taputapu,UNKNOWN,TV,431,"Apr 2, 2012 to Nov 29, 2013",393,0.0
Little Charo: Touhoku-hen,UNKNOWN,TV,12,"Apr 7, 2012 to Jun 30, 2012",372,0.0
Hyouka: Motsubeki Mono wa,"Mystery, Slice of Life",OVA,1,"Jul 8, 2012",182562,7.35
Uchuu Kyoudai: Apo's Dream,"Comedy, Sci-Fi",OVA,1,"Mar 23, 2012",4025,5.34
Tokyo Disney Resort: Yume ga Kanau Basho,Slice of Life,Special,1,"Mar 23, 2012",1679,6.06
Neko no Sumu Shima,Drama,Special,1,"Mar 18, 2012",421,0.0
Himitsukessha Taka no Tsume The Planetarium: Burabura! Black Hole no Nazo,"Adventure, Comedy",Special,1,"Jul 15, 2011",411,0.0
Cofun Gal no Coffy,Comedy,ONA,10,2005,297,0.0
Cofun Gal no Coffy (TV),Comedy,TV,11,"Apr 6, 2006 to Jun 15, 2006",379,0.0
Cofun Gal no Coffy Campus Life,Comedy,TV,11,"Oct 7, 2009 to Dec 16, 2009",362,0.0
Cofun Gal no Coffy: Okehazama no Tatakai,Comedy,Movie,1,"Mar 17, 2007",299,0.0
Cofun Gal no Coffy: Juuninin to Ikareru Cofun-tachi,Comedy,Movie,1,"May 24, 2008",310,0.0
Cofun Gal no Coffy: Cofunderella,Comedy,Movie,1,"Jan 16, 2010",327,0.0
Anima,UNKNOWN,Movie,1,Feb 2005,2223,5.08
Neo Satomi Hakkenden: Satomi-chanchi no Hachi Danshi,Comedy,ONA,1,"Dec 21, 2011",632,5.11
Ryuugajou Nanana no Maizoukin PV,"Comedy, Supernatural",ONA,1,"Dec 26, 2011",13843,6.55
Organic,Comedy,ONA,1,"Oct 21, 2009",443,5.01
Binbougami ga!,"Comedy, Supernatural",TV,13,"Jul 5, 2012 to Sep 27, 2012",226296,7.68
Rui no Masaiban,Fantasy,ONA,1,"Feb 1, 2012",563,4.85
Nantokashite Alguard,UNKNOWN,ONA,1,"Jan 31, 2012",577,4.3
Shuukan Storyland,"Comedy, Drama, Slice of Life",TV,56,"Oct 14, 1999 to Sep 13, 2001",740,0.0
Bakusou Circuit Roman Twin,UNKNOWN,OVA,1,"Jan 24, 1989",522,0.0
Lovely Day: Boku to Kanojo no Nana Nichikan,Hentai,OVA,1,"Mar 23, 2012",5090,5.94
Guilty Crown: 4-koma Gekijou,Comedy,Special,11,"Jan 25, 2012 to Nov 21, 2012",26108,6.92
The Four Seasons,Slice of Life,ONA,4,"Mar 28, 2012",2303,6.07
Natsuyuki Rendezvous,"Drama, Romance, Supernatural",TV,11,"Jul 6, 2012 to Sep 14, 2012",81076,7.27
Persona 4 the Animation: No One is Alone,"Adventure, Mystery, Sci-Fi, Supernatural",Special,1,"Aug 22, 2012",44832,7.48
"Suki de Suki de, Suki de The Animation",Hentai,OVA,2,"Jun 29, 2012 to Sep 28, 2012",11723,6.79
Robotics;Notes,"Drama, Mystery, Sci-Fi",TV,22,"Oct 12, 2012 to Mar 22, 2013",174702,7.32
Psycho-Pass,"Action, Mystery, Sci-Fi, Suspense",TV,22,"Oct 12, 2012 to Mar 22, 2013",1568535,8.34
Sayonara Zetsubou Sensei Special Omake,Comedy,Special,1,"Jan 31, 2012",6625,6.56
Furiko,"Drama, Romance",Special,1,"Mar 16, 2012",19549,7.47
Hi no Youjin,"Award Winning, Slice of Life",Movie,1,"Jun 4, 2012",8044,6.3
Imouto Twins,Hentai,OVA,1,"Sep 8, 2006",3565,5.83
Little Busters!,"Comedy, Drama, Supernatural",TV,26,"Oct 6, 2012 to Apr 6, 2013",285255,7.48
Ore no Imouto ga Konnani Kawaii Wake ga Nai.,"Comedy, Romance",TV,13,"Apr 7, 2013 to Jun 30, 2013",425658,6.92
To LOVE-Ru Darkness,"Comedy, Romance, Sci-Fi, Ecchi",TV,12,"Oct 6, 2012 to Dec 29, 2012",359571,7.43
Naruto: Shippuuden Movie 6 - Road to Ninja,"Action, Adventure, Fantasy",Movie,1,"Jul 28, 2012",331660,7.68
Owari no Chronicle,"Action, Adventure, Fantasy, Sci-Fi",Special,1,"Apr 1, 2012",3561,5.05
Otome Nadeshiko Koi Techou,UNKNOWN,OVA,1,"Jan 26, 2012",5165,5.85
Ao no Exorcist Movie Special,Comedy,Special,1,"Apr 1, 2012",37035,6.75
Tottoko Hamtarou Hai!,Adventure,TV,77,"Apr 5, 2006 to Mar 28, 2008",5099,6.68
Nekogami Yaoyorozu Specials,"Comedy, Supernatural",Special,7,"Sep 21, 2011 to Mar 21, 2012",1799,6.09
Taisei Kensetsu CMs,Drama,Special,6,"Dec 10, 2008 to Mar 20, 2020",3869,5.87
Ippatsu Hicchuu!! Devander,"Action, Sci-Fi",OVA,1,"Oct 19, 2012",854,5.24
Afro Samurai Movie,"Action, Adventure",Movie,1,"Oct 27, 2007",63842,7.54
Kennel Tokorozawa,"Comedy, Ecchi",OVA,1,"Feb 21, 1992",3095,3.63
Rinne no Lagrange: Kamogawa Days,"Comedy, Sci-Fi, Slice of Life",OVA,1,"Jun 23, 2012",9246,6.77
Koukyoushihen Eureka Seven: New Order,"Adventure, Drama, Romance, Sci-Fi",Special,1,"Apr 6, 2012",9473,6.58
Shanshui Qing,UNKNOWN,Movie,1,1988,2089,6.51
Mashiro-iro Symphony: The Color of Lovers Picture Drama,"Drama, Romance",Special,2,"Feb 22, 2012 to May 23, 2012",10075,6.43
Sakura-sou no Pet na Kanojo,"Drama, Romance",TV,24,"Oct 9, 2012 to Mar 26, 2013",1206053,8.08
Junjou Romantica OVA,"Boys Love, Comedy, Drama, Romance",OVA,2,"Dec 20, 2012 to Dec 1, 2015",53772,7.7
Kamen no Ninja Akakage,"Action, Fantasy",TV,23,"Oct 13, 1987 to Mar 22, 1988",1017,6.58
