Name,Genres,Type,Episodes,Aired,Members,Score
Full Metal Panic? Fumoffu,"Action, Comedy",TV,12,"Aug 26, 2003 to Nov 18, 2003",289064,8.03
Full Metal Panic! The Second Raid,Action,TV,13,"Jul 14, 2005 to Oct 20, 2005",255279,7.93
Gakuen Alice,"Comedy, Fantasy",TV,26,"Oct 30, 2004 to May 14, 2005",97186,7.64
Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Sci-Fi",TV,25,"Jul 5, 2004 to Dec 27, 2004",47077,7.26
Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama",TV,13,"Oct 3, 2004 to Dec 26, 2004",101048,7.41
Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama",TV,13,"Oct 2, 2005 to Dec 25, 2005",63640,7.97
Shuffle!,"Comedy, Drama, Fantasy, Romance, Ecchi",TV,24,"Jul 8, 2005 to Jan 6, 2006",273378,7.03
Kidou Senshi Gundam,"Action, Drama, Sci-Fi",TV,43,"Apr 7, 1979 to Jan 26, 1980",126804,7.76
Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure, Drama, Romance, Sci-Fi",OVA,12,"Jan 25, 1996 to Jul 25, 1999",79682,8.01
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama, Sci-Fi",OVA,6,"Mar 25, 1989 to Aug 25, 1989",56839,7.96
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"Drama, Romance, Sci-Fi",Movie,1,"Aug 1, 1998",13284,6.76
Kidou Senshi Gundam 0083: Stardust Memory,"Adventure, Drama, Romance, Sci-Fi",OVA,13,"May 23, 1991 to Sep 24, 1992",42580,7.24
Kidou Senshi Zeta Gundam,"Drama, Romance, Sci-Fi",TV,50,"Mar 2, 1985 to Feb 22, 1986",70651,7.9
Kidou Senshi Gundam ZZ,"Comedy, Drama, Sci-Fi",TV,47,"Mar 1, 1986 to Jan 31, 1987",40669,6.68
Kidou Senshi Gundam: Gyakushuu no Char,"Drama, Sci-Fi",Movie,1,"Mar 12, 1988",46928,7.66
Kidou Senshi Gundam F91,"Drama, Sci-Fi",Movie,1,"Mar 16, 1991",30560,6.62
Kidou Senshi Victory Gundam,"Drama, Sci-Fi",TV,51,"Apr 2, 1993 to Mar 25, 1994",26469,6.77
Shin Kidou Senki Gundam Wing,"Action, Drama, Sci-Fi",TV,49,"Apr 7, 1995 to Mar 29, 1996",155744,7.69
Shin Kidou Senki Gundam Wing: Endless Waltz,"Action, Award Winning, Drama, Sci-Fi",OVA,3,"Jan 25, 1997 to Jul 25, 1997",47208,7.74
Kidou Shinseiki Gundam X,"Adventure, Drama, Sci-Fi",TV,39,"Apr 5, 1996 to Dec 28, 1996",34851,7.34
Kidou Senshi Gundam SEED,"Action, Award Winning, Drama, Romance, Sci-Fi",TV,50,"Oct 5, 2002 to Sep 27, 2003",164436,7.75
Kidou Senshi Gundam SEED Destiny,"Action, Drama, Romance, Sci-Fi",TV,50,"Oct 9, 2004 to Oct 1, 2005",104048,7.18
Turn A Gundam,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",TV,50,"Apr 9, 1999 to Apr 14, 2000",45772,7.74
Kidou Butouden G Gundam,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",TV,49,"Apr 1, 1994 to Mar 31, 1995",66828,7.57
Last Exile,"Action, Adventure, Sci-Fi",TV,26,"Apr 8, 2003 to Sep 30, 2003",170062,7.79
Mai-HiME,"Action, Fantasy, Girls Love",TV,26,"Oct 1, 2004 to Apr 1, 2005",113210,7.42
Mai-Otome,"Comedy, Drama, Fantasy",TV,26,"Oct 7, 2005 to Mar 31, 2006",50454,7.28
Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Romance",TV,13,"Apr 4, 2001 to Jun 27, 2001",62156,7.16
Air,"Drama, Romance, Supernatural",TV,12,"Jan 7, 2005 to Mar 25, 2005",292351,7.28
Aishiteruze Baby★★,"Comedy, Drama, Romance",TV,26,"Apr 3, 2004 to Oct 9, 2004",101134,7.44
Akazukin Chacha,"Adventure, Comedy, Fantasy, Romance",TV,74,"Jan 7, 1994 to Jun 30, 1995",14917,7.49
Ayashi no Ceres,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",TV,24,"Apr 20, 2000 to Sep 28, 2000",60668,7.18
Boys Be...,"Comedy, Romance, Slice of Life",TV,13,"Apr 11, 2000 to Jul 4, 2000",22934,6.4
Hana yori Dango,"Drama, Romance",TV,51,"Sep 8, 1996 to Aug 31, 1997",59814,7.61
Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi",TV,13,"May 15, 2002 to Aug 14, 2002",36942,7.19
Ou Dorobou Jing in Seventh Heaven,"Adventure, Comedy, Fantasy",OVA,3,"Jan 21, 2004 to Apr 28, 2004",12873,7.25
Bakuretsu Tenshi,"Adventure, Comedy, Sci-Fi",TV,24,"Apr 7, 2004 to Sep 15, 2004",69227,6.79
Chuuka Ichiban!,"Action, Comedy, Drama, Gourmet",TV,52,"Apr 27, 1997 to Sep 13, 1998",19292,7.58
Corrector Yui,"Adventure, Comedy, Sci-Fi",TV,52,"Apr 9, 1999 to Oct 20, 2000",15804,6.97
Chou Henshin Cosprayers,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",TV,8,"Jan 13, 2004 to Mar 2, 2004",8567,4.82
Uchuu no Stellvia,"Action, Romance, Sci-Fi",TV,26,"Apr 3, 2003 to Sep 25, 2003",24116,7.37
Sakigake!! Cromartie Koukou,Comedy,TV,26,"Oct 3, 2003 to Mar 26, 2004",134468,7.9
El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",TV,13,"Jan 8, 1998 to Mar 26, 1998",11370,6.79
El Hazard: The Wanderers,"Adventure, Comedy, Fantasy, Romance",TV,26,"Oct 6, 1995 to Mar 29, 1996",17489,6.93
El Hazard: The Magnificent World,"Adventure, Comedy, Fantasy, Romance",OVA,7,"May 26, 1995 to Jan 25, 1996",18867,7.26
El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",OVA,4,"Mar 21, 1997 to Oct 25, 1997",9011,6.78
Final Approach,"Comedy, Drama, Romance",TV,13,"Oct 3, 2004 to Dec 26, 2004",35110,6.52
Fruits Basket,"Drama, Romance, Supernatural",TV,26,"Jul 5, 2001 to Dec 27, 2001",524623,7.69
Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy",TV,51,"Oct 4, 2003 to Oct 2, 2004",1426703,8.11
Full Moon wo Sagashite,"Comedy, Drama, Romance, Supernatural",TV,52,"Apr 6, 2002 to Mar 29, 2003",106414,7.94
Fushigi Yuugi,"Adventure, Fantasy, Romance",TV,52,"Apr 6, 1995 to Mar 28, 1996",115885,7.61
Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance",OVA,4,"Dec 21, 2001 to Jun 25, 2002",17611,6.82
Futakoi,"Comedy, Romance",TV,13,"Oct 6, 2004 to Dec 29, 2004",34677,6.44
Futakoi Alternative,"Comedy, Drama, Romance",TV,13,"Apr 7, 2005 to Jun 30, 2005",30944,6.86
Gate Keepers,"Action, Comedy, Fantasy, Sci-Fi",TV,24,"Apr 3, 2000 to Sep 18, 2000",21786,6.92
Gate Keepers 21,"Action, Drama, Sci-Fi",OVA,6,"Apr 24, 2002 to Jan 8, 2003",10417,6.74
Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Drama, Supernatural",TV,50,"Apr 4, 2000 to Mar 27, 2001",53858,7.55
Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Supernatural",TV,25,"Oct 2, 2003 to Mar 25, 2004",34249,7.37
Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural",TV,26,"Apr 2, 2004 to Sep 24, 2004",22999,7.37
